Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,70 000 000 〒,"Медеуский р-н, мкр Думан-2 — ул Суюнбая",Медеуский,4,175,Floor: 1;  Construction year: 2017
Отдельный дом ,260 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Кенжетаева 74 — Толе би",Наурызбайский,7,500,Floor: 3;  Construction year: 2018
Отдельный дом ,159 900 000 〒,"Бостандыкский р-н, мкр Баганашыл, М-н Баганашыл 5 — Сыргабекова, Подгорная, Восточная",Бостандыкский,5,168,Floor: 2;  Construction year: 2024
Отдельный дом ,38 000 000 〒,"Турксибский р-н, Рыбинская 40",Турксибский,3,80,Floor: 1;  Construction year: 2008
Отдельный дом ,60 000 000 〒,"Жетысуский р-н, Матросова 25а — Жангильдина Бондаренко",Жетысуский,5,142,Floor: 2;  Construction year: 2013
Отдельный дом ,83 000 000 〒,"Турксибский р-н, мкр Нуршашкан (Колхозши) 14 — Орен",Турксибский,4,180,Floor: 2;  Construction year: 2019
Отдельный дом ,38 000 000 〒,Iлe ayдaны (ПKCT Пepвoмaйcкий Paй),,4,124.7,Floor: 1;  Construction year: 2020
Отдельный дом ,300 000 000 〒,"Наурызбайский р-н, мкр Рахат — Кенесары хана",Наурызбайский,5,300,Floor: 2;  Construction year: 2000
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 35/2",Наурызбайский,6,260,Floor: 2;  Construction year: 2024
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Боралдай (Бурундай)",Алатауский,4,108,Floor: 1;  Construction year: 2016
Отдельный дом ,105 000 000 〒,"Жетысуский р-н, Бийская 15",Жетысуский,4,145,Construction year: 2021
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 35/2 — Улица Арал дом 35/2",Наурызбайский,6,260,Floor: 2;  Construction year: 2023
Отдельный дом ,125 000 000 〒,"Медеуский р-н, Талгат Бигелдинов 19 — Кок-Тобе",Медеуский,4,160,Floor: 2;  Construction year: 2019
Отдельный дом ,800 000 000 〒,"Бостандыкский р-н, мкр Ерменсай 3 — ул. Талапты",Бостандыкский,7,800,Floor: 4;  Construction year: 2004
Отдельный дом ,300 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, Санаторная 15",Бостандыкский,5,650,Floor: 2;  Construction year: 2024
Отдельный дом ,750 000 000 〒,"Бостандыкский р-н, мкр Мирас 7777",Бостандыкский,10,1000,Floor: 4;  Construction year: 2018
Часть дома ,20 500 000 〒,"Турксибский р-н, Нурсая 43 — Харьковская улица",Турксибский,2,53,Floor: 1;  Construction year: 1969
Отдельный дом ,41 000 000 〒,"Алатауский р-н, мкр Карасу — Дулат Байбайулы",Алатауский,3,75,Floor: 2;  Construction year: 2016
Отдельный дом ,70 000 000 〒,"Турксибский р-н, Щелково 3/1",Турксибский,5,198,Floor: 2;  Construction year: 2018
Часть дома ,67 000 000 〒,"Жетысуский р-н, Мартынова 30 — Федорова",Жетысуский,6,120,Floor: 1
Отдельный дом ,95 000 000 〒,"Бостандыкский р-н, Ремизовка",Бостандыкский,5,265,Floor: 3;  Construction year: 2015
Отдельный дом ,65 000 000 〒,"Мкр. Тастыбулак, Наука-2 — Ермек",,5,214.2,Floor: 2;  Construction year: 2007
Отдельный дом ,250 000 000 〒,"Бостандыкский р-н, мкр Баганашыл 65",Бостандыкский,5,160,Floor: 2;  Construction year: 2011
Отдельный дом ,42 000 000 〒,"Алатауский р-н, мкр Шанырак-2, Аубакирова",Алатауский,5,110,
Отдельный дом ,80 000 000 〒,"Алатауский р-н, мкр Улжан-1 — Жалайыр-Карасаз",Алатауский,5,250,Floor: 3;  Construction year: 2007
Отдельный дом ,90 000 000 〒,"Алатауский р-н, мкр Шанырак-1 41",Алатауский,5,360,Floor: 3;  Construction year: 2015
Отдельный дом ,200 000 000 〒,"Наурызбайский р-н, мкр Каргалы 2 — Байдаулет",Наурызбайский,7,380,Floor: 3;  Construction year: 2015
Отдельный дом ,100 000 000 〒,"Ауэзовский р-н, Лазарева — Жандосова Навои",Ауэзовский,3,182,Construction year: 2005
Отдельный дом ,75 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 — Айымбетова",Наурызбайский,4,175,Floor: 2;  Construction year: 2000
Отдельный дом ,55 000 000 〒,"Алатауский р-н, Нальчикская — Райымбека",Алатауский,6,220,Floor: 1;  Construction year: 1998
Отдельный дом ,39 000 000 〒,"Жетысуский р-н, Краснодарская 16А — Иркутская",Жетысуский,4,60,Floor: 1;  Construction year: 1954
Отдельный дом ,150 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, Обувщик",Наурызбайский,6,274,Floor: 2;  Construction year: 2005
Отдельный дом ,31 000 000 〒,"Наурызбайский р-н, мкр Акжар, СТ Алтын Алма 89 — Выше трассы, поворот на церковь",Наурызбайский,3,161.1,Floor: 3;  Construction year: 2007
Отдельный дом ,62 000 000 〒,"Наурызбайский р-н, мкр Калкаман-1, Калкаман-2 59 — Толе Би",Наурызбайский,4,90,Floor: 1;  Construction year: 2006
Отдельный дом ,280 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Кунжарык 6",Бостандыкский,7,438.6,Floor: 3
Отдельный дом ,60 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Нурпеисова — Кулыбекова",Наурызбайский,5,120,Construction year: 1994
Отдельный дом ,98 000 000 〒,"Медеуский р-н, мкр Кенсай, Мкр Кенсай, ст мичуринец юг 18",Медеуский,4,234,Floor: 2;  Construction year: 2023
Отдельный дом ,200 000 000 〒,"Ауэзовский р-н, мкр Жазира 16",Ауэзовский,7,300,Floor: 2
Отдельный дом ,130 000 000 〒,"Турксибский р-н, Щелково 3 — Элеватор",Турксибский,8,335,Floor: 2;  Construction year: 2003
Отдельный дом ,160 000 000 〒,"Алатауский р-н, мкр Теректы, Таусамалы мкр 590 — Ташкентская",Алатауский,5,400,Floor: 2;  Construction year: 2015
Отдельный дом ,57 000 000 〒,"Алатауский р-н, мкр Айгерим-2 13",Алатауский,4,96,
Отдельный дом ,280 000 000 〒,"Медеуский р-н, мкр Тау Самал, Оспанова",Медеуский,6,300,Floor: 3;  Construction year: 2002
Отдельный дом ,225 000 000 〒,"Бостандыкский р-н, мкр Баганашыл 63",Бостандыкский,6,180,Construction year: 2011
Отдельный дом ,188 000 000 〒,"Медеуский р-н, Кастеева 33",Медеуский,6,329,Floor: 3;  Construction year: 2004
Отдельный дом ,170 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Арал 37/4",Наурызбайский,7,512,Floor: 3
Отдельный дом ,130 000 000 〒,"Алатауский р-н, мкр Теректы 26",Алатауский,10,290,Floor: 3;  Construction year: 2023
Часть дома ,55 000 000 〒,"Жетысуский р-н, Ахтанова 19 — Ориентировочно мост фурманова",Жетысуский,5,156,Floor: 1
Отдельный дом ,44 000 000 〒,"Жетысуский р-н, Герцена 47",Жетысуский,3,85,Floor: 1;  Construction year: 2010
Отдельный дом ,92 000 000 〒,"Турксибский р-н, мкр Кайрат, Даулеткерея 38",Турксибский,6,215,Floor: 2;  Construction year: 2017
Отдельный дом ,52 500 000 〒,"Жетысуский р-н, Парковая — Рыскулова-Жангельдина",Жетысуский,3,83,Floor: 1;  Construction year: 1970
Отдельный дом ,130 000 000 〒,"Медеуский р-н, Ст алмалы 13",Медеуский,4,220,Floor: 2
Отдельный дом ,145 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Жанат 43А — Жандосова",Наурызбайский,6,350,Floor: 2;  Construction year: 2009
Отдельный дом ,80 000 000 〒,"Турксибский р-н, Береке 2 — Айша Биби",Турксибский,3,100,Floor: 1;  Construction year: 2008
Отдельный дом ,75 000 000 〒,"Турксибский р-н, улица Меркурова 16",Турксибский,7,174.4,Floor: 2;  Construction year: 2019
Отдельный дом ,165 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Жана 110/3 — Гроза-Жандосова",Наурызбайский,6,250,Floor: 2;  Construction year: 2024
Отдельный дом ,121 000 000 〒,"Наурызбайский р-н, мкр Таусамалы — Таугуль3( Карменова-Беримжанова)",Наурызбайский,6,258,Floor: 2;  Construction year: 2012
Отдельный дом ,150 000 000 〒,"Бостандыкский р-н, Мухамеджана Каратаева 80в — Альфараби",Бостандыкский,5,122.2,Floor: 2;  Construction year: 2012
Отдельный дом ,179 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Халила Аргынбаева — Шаляпина-Ашимова, Шаляпина-Яссауи",Наурызбайский,6,218,Floor: 2;  Construction year: 2008
Отдельный дом ,95 000 000 〒,"Наурызбайский р-н, мкр Акжар — Жандосова Бекешева",Наурызбайский,5,196.2,Floor: 2;  Construction year: 2010
Отдельный дом ,78 000 000 〒,"Алатауский р-н, мкр Теректы 3",Алатауский,6,200,Floor: 1;  Construction year: 2021
Отдельный дом ,187 000 000 〒,"Турксибский р-н, Бакинская",Турксибский,6,444,Floor: 2;  Construction year: 2023
Отдельный дом ,165 000 000 〒,"Наурызбайский р-н, мкр Курамыс, Жана 110/3 — Гроза Джандосова",Наурызбайский,6,250,Floor: 2;  Construction year: 2024
Отдельный дом ,50 000 000 〒,"Медеуский р-н, мкр Алатау (ИЯФ) — Орталык",Медеуский,5,128,Floor: 2
Отдельный дом ,160 000 000 〒,"Наурызбайский р-н, мкр Курамыс, Жана 110/3 — Гроза -Джандосова",Наурызбайский,6,256,Floor: 2;  Construction year: 2024
Отдельный дом ,350 000 000 〒,"Наурызбайский р-н, мкр Таусамалы",Наурызбайский,8,400,Floor: 2;  Construction year: 2022
Отдельный дом ,160 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Жана 110/3 — Гроза-Жандосова",Наурызбайский,6,256,Floor: 2;  Construction year: 2024
Дача ,30 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Прифермская 7 — Выше Ремизовки, в дачном массиве",Бостандыкский,4,111,Floor: 2;  Construction year: 2008
Отдельный дом ,37 990 000 〒,"Наурызбайский р-н, мкр Карагайлы, Кали.Надырова 173",Наурызбайский,5,144.8,Floor: 2;  Construction year: 2017
Отдельный дом ,415 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, Бул Бул 42",Бостандыкский,7,480,Floor: 3;  Construction year: 2014
Отдельный дом ,40 000 000 〒,"Алатауский р-н, Ул ясная поляна 18а — Немировича —данченко",Алатауский,4,120,Floor: 2;  Construction year: 2000
Часть дома ,40 000 000 〒,"Турксибский р-н, Стальского 43",Турксибский,6,153.3,Floor: 2;  Construction year: 1957
Отдельный дом ,109 000 000 〒,"Наурызбайский р-н, мкр Калкаман-1, Кенжетаева 65 — По Кенжетаева , между Толеби и Сабденова",Наурызбайский,4,172.8,Floor: 1;  Construction year: 2024
Часть дома ,215 000 000 〒,"Наурызбайский р-н, мкр Каргалы",Наурызбайский,7,285,Floor: 3;  Construction year: 2024
Отдельный дом ,167 000 000 〒,"Турксибский р-н, Гёте",Турксибский,5,200,Floor: 1;  Construction year: 2024
Отдельный дом ,65 000 000 〒,"Алатауский р-н, мкр Мадениет",Алатауский,6,222.8,Floor: 2;  Construction year: 2019
Отдельный дом ,350 000 000 〒,"Наурызбайский р-н, мкр Каргалы, Кенесары хана 120 — Шаймерденова",Наурызбайский,8,400,Floor: 3;  Construction year: 2007
Отдельный дом ,195 000 000 〒,"Медеуский р-н, Ладушкина",Медеуский,5,250,Floor: 3;  Construction year: 2023
Отдельный дом ,170 000 000 〒,"Медеуский р-н, мкр Думан-2, Коттеджный городок ""Радуга"" 32",Медеуский,5,368,Floor: 3;  Construction year: 2013
Отдельный дом ,320 000 000 〒,"Медеуский р-н, Дружба спорт",Медеуский,7,300,
Отдельный дом ,20 000 000 〒,"Медеуский р-н, мкр Каменское плато",Медеуский,2,50,
Отдельный дом ,84 700 000 〒,"Медеуский р-н, мкр Думан-1, Аяз би — Павлик Морозова",Медеуский,4,295,Floor: 2;  Construction year: 2017
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Теректы 25 — Райымбека",Алатауский,4,180,Floor: 2;  Construction year: 2015
Отдельный дом ,200 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 2 — Аль фараби Рыскулова",Наурызбайский,7,400,Floor: 2;  Construction year: 2014
Отдельный дом ,48 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 99 — Рыскулова",Наурызбайский,3,49.1,Floor: 1;  Construction year: 1944
Отдельный дом ,275 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик) 70 — Розы Жамановой",Бостандыкский,10,350,Floor: 2;  Construction year: 2015
Отдельный дом ,43 900 000 〒,"Алатауский р-н, мкр Мадениет, Ағыбай батыр 45 — Рядом новая школа",Алатауский,4,150,Floor: 1;  Construction year: 2024
Отдельный дом ,119 000 000 〒,"Алатауский р-н, мкр Ожет",Алатауский,5,250,Floor: 2;  Construction year: 2022
Отдельный дом ,90 000 000 〒,"Алатауский р-н, мкр Теректы Құрсары 4 — Рынок ""Жібек жолы""",Алатауский,7,250,Floor: 2;  Construction year: 2015
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Карасу, Ул Озерная 40 — Торговый  перекрёсток",Алатауский,4,75.5,Floor: 1;  Construction year: 1963
Дача ,10 000 000 〒,"Медеуский р-н, мкр Кенсай, Сантехник 11 — Сантехник",Медеуский,3,78,Floor: 2;  Construction year: 2008
Отдельный дом ,69 000 000 〒,"Медеуский р-н, Таирова 25а",Медеуский,5,130,Floor: 2;  Construction year: 2007
Отдельный дом ,139 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, СТ АЛАТАУ-2 11",Бостандыкский,5,260,Floor: 2;  Construction year: 2011
Отдельный дом ,71 000 000 〒,"Алатауский р-н, мкр Шанырак-1, Шаңырақ-1 ш/а. қосағаш 56 — Қосағаш",Алатауский,8,250,Floor: 2;  Construction year: 2015
Отдельный дом ,78 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Ер Косай батыра 7 — Ул.Кали Кадырова, угол Ер Косай батыра, м-н Жандос",Наурызбайский,4,120,Floor: 1;  Construction year: 2000
Отдельный дом ,128 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Бегайыл 31",Наурызбайский,6,275,Floor: 2;  Construction year: 2022
Отдельный дом ,75 000 000 〒,"Наурызбайский р-н, ул Орбита 26",Наурызбайский,4,257,Floor: 3;  Construction year: 2018
Отдельный дом ,105 000 000 〒,"Алатауский р-н, мкр Мадениет 147 — Экопост",Алатауский,6,288,Floor: 2;  Construction year: 2024
Отдельный дом ,59 000 000 〒,"Турксибский р-н, Суворова 148 — Суворова Апанасенко",Турксибский,4,102,Floor: 1;  Construction year: 2000
Отдельный дом ,77 000 000 〒,"Алатауский р-н, Сыздыкова 45",Алатауский,4,99.4,Construction year: 2016
Отдельный дом ,45 000 000 〒,"Алатауский р-н, мкр Мадениет, Мухит мералыулы 42",Алатауский,4,135,Floor: 1;  Construction year: 2024
Часть дома ,23 500 000 〒,"Турксибский р-н, Токтогулова 100 — Тихова",Турксибский,3,50,Floor: 1
Дача ,29 999 999 〒,"Наурызбайский р-н, мкр Акжар, Садоводческое товарищество Енбек 86",Наурызбайский,5,105,Floor: 3;  Construction year: 1990
Отдельный дом ,38 500 000 〒,"Наурызбайский р-н, мкр Таужолы, Жартас 52",Наурызбайский,5,214,Floor: 3;  Construction year: 2022
Отдельный дом ,590 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау",Бостандыкский,7,464,Floor: 4;  Construction year: 1996
Отдельный дом ,65 480 000 〒,"Наурызбайский р-н, мкр Акжар, Даулеткерей 67 — Рядом с Санаторий Алатау и ЖК Alatau Residence",Наурызбайский,4,100,Floor: 1;  Construction year: 2006
Отдельный дом ,155 500 000 〒,"Наурызбайский р-н, мкр Курамыс 740/1 — Кали Надырова",Наурызбайский,7,300,Floor: 2;  Construction year: 2022
Отдельный дом ,154 999 000 〒,"Наурызбайский р-н, мкр Курамыс 740/1 — Кали Надырова 740/1",Наурызбайский,6,300,Floor: 2;  Construction year: 2022
Отдельный дом ,90 000 000 〒,Рыскулбекова 47 — КГ»Бес-Агаш»,,4,150,Floor: 2;  Construction year: 2017
Отдельный дом ,70 000 000 〒,"Турксибский р-н, мкр Жас Канат, Баймағамбетова 107/1",Турксибский,3,120,Floor: 1;  Construction year: 2008
Отдельный дом ,37 500 000 〒,"Алатауский р-н, Саги Ашимова 80а",Алатауский,4,110,Floor: 1;  Construction year: 1970
Отдельный дом ,38 000 000 〒,"Ашибулак, Гагарина 73",,6,140,Floor: 2
Отдельный дом ,60 000 000 〒,"Жетысуский р-н, Жумабаева 142а — Мечеть Султан-Курган",Жетысуский,4,42.3,Floor: 1
Часть дома ,55 000 000 〒,"Турксибский р-н, Пугачева 6/7",Турксибский,4,126,Floor: 1;  Construction year: 1998
Отдельный дом ,110 000 000 〒,"Турксибский р-н, мкр Алтай-1, Майлина 61 — Находится по основной дороге",Турксибский,6,300,Floor: 2;  Construction year: 1996
Отдельный дом ,55 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 72",Наурызбайский,5,130,Floor: 1
Отдельный дом ,220 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2",Наурызбайский,6,280,Floor: 2;  Construction year: 2014
Часть дома ,27 000 000 〒,"Алатауский р-н, мкр Курылысшы — Бизнес центр Массагет",Алатауский,3,110,Floor: 1
Отдельный дом ,320 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау 15",Бостандыкский,10,700,Floor: 3;  Construction year: 2024
Отдельный дом ,43 000 000 〒,"Медеуский р-н, Крайняя 17",Медеуский,5,118.4,Floor: 1;  Construction year: 1957
Отдельный дом ,295 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Талды 25",Бостандыкский,7,320,Floor: 3;  Construction year: 2024
Отдельный дом ,146 000 000 〒,"Медеуский р-н, мкр Атырау 165",Медеуский,7,210,Floor: 3;  Construction year: 2010
Отдельный дом ,350 000 000 〒,"Медеуский р-н, мкр Каменское плато — Обсерватирия",Медеуский,4,250,Floor: 2;  Construction year: 2025
